WORD,WORD_LOWER,HAP_MEAN,HAP_STD,ANG_MEAN,ANG_STD,SAD_MEAN,SAD_STD,FEA_MEAN,FEA_STD,DIS_MEAN,DIS_STD,BasicEmoCat conservative,BasicEmoCat liberal
ASKET,asket,1.85,1.308876577,1.45,0.686332741,1.55,0.686332741,1.35,0.587142949,1.3,0.923380517,,HAP
ASYL,asyl,1.80952381,1.123345344,2.476190476,1.167006753,2.19047619,1.209092537,2.095238095,0.94365046,1.380952381,0.973457265,,ANG
ATEMNOT,atemnot,1,0,1.75,1.164157703,1.85,1.348488433,3.65,1.308876577,1.4,0.753937035,FEA,FEA
ATLAS,atlas,2,1.297771369,1.6,1.046296728,1.25,0.716350399,1.35,0.74515982,1.1,0.307793506,,HAP
ATMUNG,atmung,1.909090909,1.1916012,1.227272727,0.685344417,1.136363636,0.351250087,1.227272727,0.528413455,1.272727273,0.550481883,,HAP
ATTENTAT,attentat,1,0,3.65,1.225818738,2.6,1.353358396,3.45,1.394538218,1.85,1.386969434,,ANG
AUFBAU,aufbau,1.909090909,1.411149174,1.272727273,0.88273483,1,0,1.227272727,0.869143979,1.090909091,0.426401433,,HAP
AUFBRUCH,aufbruch,2.55,0.887041208,1.2,0.523148364,1.45,0.686332741,1.95,0.944513241,1,0,,HAP
AUFGABE,aufgabe,1.85,1.039989878,1.7,1.031095483,1.3,0.801314709,1.6,0.994722918,1,0,,HAP
AUFNAHME,aufnahme,2,1.025978352,1.05,0.223606798,1,0,1.1,0.447213595,1.15,0.489360485,,HAP
AUFPREIS,aufpreis,1,0,3.15,1.136708082,1.15,0.366347549,1,0,1.2,0.523148364,ANG,ANG
AUFSATZ,aufsatz,1.65,1.039989878,1.45,0.686332741,1.1,0.307793506,1.6,1.046296728,1.05,0.223606798,,HAP
AUFSEHER,aufseher,1.05,0.223606798,2.65,1.225818738,1.1,0.307793506,1.9,0.967906042,1.45,1.050062655,,ANG
AUFSTAND,aufstand,1.3,0.656946685,2.45,0.998683344,1.4,0.680557047,2.3,1.218281793,1.15,0.670820393,,ANG
AUFSTIEG,aufstieg,2.95,1.190974833,1.3,0.801314709,1.05,0.223606798,1.45,0.759154655,1.05,0.223606798,HAP,HAP
AUFTRAG,auftrag,2.25,1.446411167,1.05,0.223606798,1,0,1.3,0.571240571,1,0,,HAP
AUFWIND,aufwind,2.75,1.409553867,1.35,0.87509398,1.1,0.447213595,1.15,0.489360485,1.1,0.447213595,,HAP
