Source,Description,Category,Sound ID,BE Classification,AroMN,AroSD,ValMN,ValSD,DomMN,DomSD,FearMN,FearSD,HapMN,HapSD,SadMN,SadSD
IADS,Growl1,Animals ,106,F,6.79 ,1.06 ,3.25 ,1.22 ,3.38 ,1.24 ,6.29 ,1.90 ,2.29 ,1.27 ,3.00 ,2.02 
IADS,Dog,Animals ,107,FH,5.73 ,1.39 ,4.91 ,1.66 ,5.86 ,2.17 ,3.95 ,2.01 ,3.55 ,2.22 ,1.91 ,1.41 
IADS,Carousel,Scenarios,109,F,6.33 ,1.52 ,3.67 ,1.95 ,4.29 ,1.90 ,4.96 ,2.65 ,3.75 ,2.36 ,2.17 ,1.61 
IADS,Baby,People,110,H,6.36 ,1.50 ,5.82 ,2.08 ,5.77 ,2.39 ,2.68 ,2.19 ,6.50 ,1.74 ,1.32 ,0.72 
IADS,MusicBox,Scenarios,111,H,4.12 ,1.92 ,6.32 ,2.19 ,6.56 ,1.94 ,2.04 ,1.97 ,5.20 ,2.45 ,2.12 ,1.36 
IADS,Kids1,Scenarios,112,H,6.50 ,1.79 ,6.25 ,1.82 ,5.17 ,2.16 ,1.71 ,1.33 ,5.83 ,2.28 ,1.46 ,0.93 
IADS,Cows,Animals ,113,FH,5.24 ,2.01 ,4.56 ,1.94 ,4.68 ,2.46 ,3.60 ,2.25 ,3.92 ,2.04 ,2.16 ,1.80 
IADS,Cattle,Animals ,114,H,6.50 ,1.10 ,5.54 ,1.47 ,5.08 ,2.30 ,3.13 ,2.09 ,5.42 ,1.82 ,1.50 ,1.29 
IADS,Bees,Animals ,115,F,6.21 ,1.98 ,2.13 ,1.42 ,3.79 ,2.28 ,5.71 ,2.27 ,1.71 ,1.37 ,3.21 ,2.62 
IADS,Buzzing,Animals ,116,F,6.79 ,1.28 ,1.92 ,0.97 ,5.00 ,2.02 ,4.67 ,2.35 ,1.50 ,0.66 ,2.63 ,1.93 
IADS,Rooster3,Animals ,120,H,6.05 ,2.19 ,5.68 ,2.19 ,6.73 ,1.88 ,1.73 ,1.32 ,5.14 ,2.40 ,1.91 ,1.90 
IADS,Pig,Animals ,130,F,4.09 ,1.69 ,2.73 ,1.35 ,5.68 ,2.53 ,4.00 ,2.73 ,1.64 ,1.36 ,2.32 ,2.01 
IADS,Chickens,Animals ,132,H,5.92 ,1.59 ,4.75 ,1.15 ,5.50 ,2.28 ,2.17 ,1.76 ,4.04 ,2.27 ,2.08 ,1.59 
IADS,Growl2,Animals ,133,F,5.45 ,1.50 ,3.59 ,1.44 ,4.14 ,1.93 ,5.23 ,2.27 ,2.09 ,1.66 ,3.18 ,2.65 
IADS,RattleSnake,Animals ,134,FH,5.14 ,1.46 ,4.95 ,1.56 ,6.36 ,1.81 ,2.55 ,1.99 ,3.14 ,2.01 ,1.73 ,1.35 
IADS,Seagull,Animals ,150,HF,5.09 ,1.66 ,4.91 ,1.93 ,5.50 ,2.13 ,3.45 ,2.32 ,4.14 ,2.34 ,2.73 ,1.78 
IADS,Robin,Animals ,151,H,5.14 ,1.93 ,7.50 ,1.10 ,6.23 ,2.09 ,1.18 ,0.50 ,6.82 ,1.30 ,1.45 ,0.80 
IADS,Tropical,Animals ,152,H,6.00 ,1.72 ,5.58 ,1.82 ,5.88 ,1.90 ,2.54 ,1.79 ,5.17 ,2.20 ,1.83 ,1.69 
IADS,Night,Nature,170,U,4.12 ,1.67 ,4.76 ,1.67 ,5.44 ,2.40 ,3.92 ,2.22 ,3.20 ,2.14 ,3.44 ,2.18 
IADS,CountryNight,Animals ,171,U,3.50 ,1.26 ,5.32 ,2.10 ,6.05 ,2.19 ,2.23 ,1.82 ,2.95 ,1.99 ,2.68 ,2.21 
IADS,Brook3,Nature,172,H,3.64 ,2.23 ,7.28 ,1.74 ,6.52 ,2.26 ,2.28 ,2.42 ,4.08 ,2.36 ,2.44 ,2.14 
IADS,EroticCouple,People,200,H,6.46 ,1.59 ,3.79 ,1.89 ,4.25 ,2.54 ,2.21 ,2.08 ,3.25 ,2.45 ,2.21 ,1.86 
IADS,EroticFem1,People,201,U,5.82 ,1.56 ,3.91 ,1.77 ,5.09 ,1.87 ,3.27 ,2.33 ,3.18 ,2.34 ,2.77 ,2.20 
IADS,EroticFem2,People,202,U,6.46 ,1.47 ,4.42 ,1.64 ,5.42 ,2.12 ,3.21 ,2.04 ,3.04 ,2.03 ,2.71 ,1.97 
IADS,EroticFem4,People,204,FS,5.55 ,2.15 ,3.73 ,1.52 ,4.45 ,2.06 ,5.64 ,2.52 ,2.41 ,2.11 ,5.36 ,1.87 
IADS,EroticFem3,People,205,H,5.95 ,1.36 ,4.23 ,1.54 ,5.73 ,2.25 ,2.64 ,2.04 ,3.95 ,2.17 ,2.23 ,1.54 
IADS,Shower,Scenarios,206,H,4.96 ,1.86 ,5.12 ,1.59 ,5.96 ,1.72 ,2.04 ,1.54 ,5.48 ,1.92 ,2.36 ,1.82 
IADS,EroticMale1,People,210,F,4.50 ,2.11 ,2.59 ,1.62 ,4.68 ,2.34 ,3.73 ,2.45 ,2.18 ,2.15 ,2.32 ,2.06 
IADS,EroticCouple2,People,215,F,6.27 ,2.05 ,3.27 ,1.67 ,4.32 ,2.61 ,4.09 ,2.51 ,2.68 ,2.28 ,2.64 ,2.04 
IADS,EroticCouple3,People,216,U,6.25 ,1.85 ,3.29 ,1.40 ,4.42 ,2.15 ,2.29 ,1.94 ,2.92 ,1.98 ,1.92 ,1.44 
IADS,BoyLaugh,People,220,H,6.41 ,1.44 ,4.55 ,2.34 ,5.36 ,2.22 ,3.73 ,1.93 ,5.27 ,2.80 ,2.09 ,1.80 
IADS,MaleLaugh,People,221,H,5.14 ,1.86 ,5.64 ,2.34 ,5.86 ,2.01 ,3.27 ,2.68 ,5.36 ,2.80 ,2.23 ,1.72 
IADS,Kids2,People,224,H,6.68 ,1.36 ,5.09 ,1.63 ,5.82 ,1.92 ,1.95 ,1.17 ,5.86 ,2.38 ,1.64 ,0.79 
IADS,ClapGame,Scenarios,225,H,5.32 ,1.62 ,5.55 ,1.53 ,5.64 ,1.65 ,2.27 ,1.35 ,5.77 ,1.82 ,2.00 ,1.23 
IADS,Laughing,People,226,H,5.54 ,1.84 ,5.46 ,2.13 ,5.79 ,2.26 ,2.63 ,2.18 ,5.50 ,2.50 ,1.46 ,0.93 
IADS,Giggling,People,230,H,5.77 ,1.31 ,5.23 ,1.66 ,6.05 ,2.32 ,2.59 ,1.84 ,5.59 ,2.36 ,2.00 ,1.38 
IADS,MaleCough,People,241,U,5.14 ,1.96 ,2.59 ,1.22 ,4.82 ,2.04 ,2.68 ,1.91 ,1.77 ,1.19 ,2.50 ,1.74 
IADS,FemaleCough,People,242,S,4.64 ,1.84 ,2.55 ,1.63 ,5.32 ,2.36 ,2.91 ,2.31 ,1.09 ,0.43 ,3.36 ,2.63 
IADS,CoupleSneeze,People,243,U,5.36 ,1.09 ,3.91 ,1.27 ,5.91 ,2.07 ,2.23 ,2.00 ,3.14 ,2.32 ,1.86 ,1.49 
IADS,ManWheeze,People,244,FS,5.64 ,1.68 ,2.59 ,1.05 ,4.86 ,2.21 ,3.18 ,2.11 ,1.68 ,0.89 ,2.91 ,1.80 
IADS,Hiccup2,People,245,FH,5.29 ,1.76 ,3.50 ,1.74 ,6.00 ,2.11 ,3.67 ,2.10 ,2.92 ,1.89 ,2.25 ,1.26 
IADS,HeartBeat,People,246,F,5.96 ,1.71 ,4.00 ,1.62 ,3.96 ,1.85 ,4.46 ,2.50 ,2.58 ,1.98 ,2.58 ,2.12 
IADS,MaleSneeze,People,250,H,3.92 ,1.63 ,3.88 ,1.59 ,5.48 ,2.74 ,1.76 ,1.36 ,3.12 ,2.65 ,1.72 ,1.59 
IADS,NoseBlow,People,251,H,5.00 ,1.47 ,3.42 ,1.61 ,5.38 ,1.76 ,1.67 ,1.31 ,2.92 ,1.86 ,1.71 ,1.23 
IADS,MaleSnore,People,252,F,4.82 ,1.59 ,2.41 ,1.26 ,4.91 ,2.02 ,3.14 ,1.81 ,1.73 ,1.24 ,1.91 ,1.19 
IADS,VideoGame14,Electric sound,254,H,6.18 ,1.37 ,5.73 ,1.72 ,5.95 ,1.62 ,2.27 ,1.45 ,6.45 ,1.95 ,1.68 ,1.13 
IADS,Vomit,People,255,FS,5.95 ,1.79 ,1.18 ,0.50 ,4.41 ,2.26 ,4.00 ,2.83 ,1.14 ,0.35 ,4.27 ,2.78 
IADS,BabiesCry,People,260,HS,6.13 ,1.83 ,4.25 ,1.65 ,5.29 ,2.10 ,2.04 ,1.81 ,3.13 ,2.01 ,3.38 ,2.83 
IADS,BabyCry1,People,261,S,6.16 ,1.86 ,3.92 ,1.32 ,4.28 ,2.35 ,3.44 ,2.33 ,2.84 ,1.77 ,4.36 ,2.38 
IADS,Yawn,People,262,U,2.48 ,1.45 ,4.60 ,1.29 ,5.92 ,2.48 ,1.56 ,1.04 ,2.28 ,1.46 ,1.96 ,1.67 
IADS,Whistling1,People,270,H,4.77 ,1.63 ,5.41 ,1.74 ,6.77 ,1.23 ,1.82 ,1.33 ,5.59 ,2.04 ,1.45 ,0.67 
IADS,Scream2,People,275,F,7.88 ,0.80 ,1.38 ,0.65 ,2.42 ,2.26 ,7.79 ,1.56 ,1.63 ,1.17 ,4.42 ,2.67 
IADS,FemScream2,People,276,FS,7.73 ,0.98 ,1.73 ,1.35 ,3.05 ,1.99 ,7.50 ,1.63 ,1.59 ,1.47 ,6.27 ,2.98 
IADS,FemScream3,People,277,F,6.92 ,2.08 ,2.63 ,1.61 ,2.88 ,1.83 ,7.33 ,1.83 ,1.63 ,0.88 ,5.38 ,2.32 
IADS,ChildAbuse,People,278,FS,6.50 ,1.79 ,2.00 ,1.95 ,3.91 ,2.62 ,5.55 ,2.79 ,1.82 ,1.62 ,6.86 ,2.49 
IADS,Attack1,People,279,FS,6.21 ,2.02 ,1.92 ,1.18 ,4.29 ,2.69 ,6.21 ,2.47 ,1.33 ,0.76 ,5.83 ,2.71 
IADS,WomanCrying,Scenarios,280,S,5.41 ,1.76 ,3.86 ,1.67 ,5.91 ,1.74 ,4.36 ,2.46 ,2.59 ,1.92 ,6.59 ,2.46 
IADS,Attack3,People,281,FS,6.72 ,1.81 ,1.80 ,1.15 ,3.20 ,2.20 ,6.88 ,1.99 ,1.40 ,0.82 ,6.28 ,2.51 
IADS,Fight2,People,282,FS,5.91 ,1.11 ,3.18 ,1.37 ,4.23 ,2.11 ,4.50 ,2.04 ,2.86 ,2.03 ,3.68 ,2.42 
IADS,Fight3,People,283,FS,5.55 ,1.79 ,2.23 ,1.27 ,4.27 ,2.47 ,5.50 ,2.24 ,1.50 ,0.74 ,5.14 ,2.80 
IADS,Attack4,People,284,FS,6.14 ,1.25 ,3.23 ,1.34 ,4.55 ,2.20 ,4.55 ,2.50 ,2.32 ,1.78 ,4.09 ,2.81 
IADS,Attack2,People,285,FS,7.04 ,1.62 ,1.48 ,0.65 ,2.16 ,1.34 ,6.84 ,2.03 ,1.20 ,0.41 ,6.28 ,2.25 
IADS,Victim,Scenarios,286,FS,7.14 ,1.83 ,2.00 ,1.23 ,3.27 ,2.55 ,7.32 ,2.36 ,1.41 ,1.33 ,6.50 ,2.69 
IADS,Creep,People,288,H,5.79 ,1.64 ,4.88 ,1.45 ,5.96 ,2.33 ,2.58 ,2.06 ,4.38 ,2.46 ,2.25 ,1.65 
IADS,GunShot,Breaking Sound,289,F,5.55 ,2.06 ,3.95 ,1.46 ,4.36 ,2.38 ,4.91 ,2.79 ,2.27 ,1.75 ,2.91 ,2.62 
IADS,Fight1,People,290,FS,6.91 ,2.00 ,2.09 ,1.06 ,3.09 ,1.93 ,6.50 ,2.20 ,1.50 ,1.01 ,5.68 ,2.38 
IADS,Prowler,Scenarios,291,F,6.36 ,1.29 ,3.00 ,1.54 ,3.82 ,2.04 ,6.64 ,1.89 ,2.27 ,1.86 ,4.41 ,1.94 
IADS,MaleScream,People,292,FS,6.32 ,1.73 ,2.18 ,1.37 ,3.86 ,2.46 ,6.23 ,2.84 ,1.27 ,1.08 ,5.59 ,2.52 
IADS,ManSobbing,People,293,S,5.36 ,1.68 ,2.91 ,1.44 ,4.73 ,2.21 ,3.32 ,2.55 ,1.64 ,1.36 ,4.95 ,3.27 
IADS,CoupleSobbing,People,295,S,5.14 ,1.64 ,3.36 ,1.92 ,4.32 ,2.23 ,3.50 ,2.43 ,2.41 ,2.17 ,5.09 ,3.16 
IADS,WomenCrying,People,296,S,5.50 ,1.98 ,2.88 ,1.36 ,4.54 ,2.17 ,4.04 ,2.69 ,2.04 ,1.73 ,5.42 ,2.52 
IADS,Crowd1,People,310,F,6.50 ,1.53 ,3.63 ,1.79 ,4.17 ,2.01 ,4.88 ,2.69 ,3.25 ,2.42 ,2.67 ,2.01 
IADS,Crowd2,Scenarios,311,H,6.76 ,1.71 ,6.72 ,1.84 ,5.96 ,2.44 ,1.80 ,1.41 ,6.96 ,2.15 ,1.20 ,0.65 
IADS,Crowd3,People,312,F,6.83 ,1.52 ,3.83 ,1.69 ,4.58 ,2.26 ,4.04 ,2.27 ,2.96 ,2.46 ,2.75 ,2.17 
IADS,Office2,Scenarios,319,U,6.08 ,1.25 ,3.88 ,1.48 ,5.08 ,2.36 ,2.13 ,1.36 ,2.58 ,1.50 ,2.08 ,1.56 
IADS,Office1,Scenarios,320,FH,6.36 ,1.79 ,4.59 ,1.26 ,4.55 ,1.82 ,2.91 ,2.07 ,3.41 ,1.76 ,2.23 ,1.60 
IADS,TypeWriter,Daily Routine Sound,322,F,5.83 ,1.40 ,4.29 ,1.20 ,4.75 ,2.13 ,3.71 ,2.18 ,2.63 ,1.41 ,2.17 ,1.63 
IADS,Applause1,Scenarios,351,H,5.82 ,1.68 ,7.14 ,1.46 ,6.59 ,1.89 ,1.23 ,0.53 ,5.82 ,2.58 ,1.27 ,0.63 
